BenignSnomedCTConceptId,Term,Disease,Otherinstructions,origin,Comment
109913001,"Benign neoplasm of meninges, unspecified",Benign Tumour,,['Lauren_codelist'],
119423009,Benign teratoma of ovary,Benign Tumour,,['Lauren_codelist'],
188838004,Benign neoplasm of rectum and anal canal,Benign Tumour,,['Lauren_codelist'],
188838004,Benign neoplasm of rectum or anal canal NOS,Benign Tumour,,['Lauren_codelist'],
189162003,"Benign neoplasm of brain, supratentorial",Benign Tumour,,['Lauren_codelist'],
189179009,Benign neoplasm of Rathke's pouch,Benign Tumour,,['Lauren_codelist'],
189180007,Benign neoplasm of sella turcica,Benign Tumour,,['Lauren_codelist'],
255171005,Jejunal polyp,Benign Tumour,,['Lauren_codelist'],
255172003,Benign neoplasm of ileocaecal valve,Benign Tumour,,['Lauren_codelist'],
255173008,Benign papilloma rectum,Benign Tumour,,['Lauren_codelist'],
271479005,Benign neoplasm of pituitary gland and craniopharyngeal duct,Benign Tumour,,['Lauren_codelist'],
73861008,Duodenal polyp,Benign Tumour,,['Lauren_codelist' 'Lauren_codelist'],
73861008,Polyp of duodenum,Benign Tumour,,['Lauren_codelist'],
78809005,Gastric polyp,Benign Tumour,,['Lauren_codelist' 'Lauren_codelist'],
78809005,Polyp of stomach,Benign Tumour,,['Lauren_codelist'],
91971005,Benign neoplasm of anal canal,Benign Tumour,,['Lauren_codelist'],
91978004,Benign neoplasm of anus NOS,Benign Tumour,,['Lauren_codelist'],
91979007,Benign neoplasm of aortic body,Benign Tumour,,['Lauren_codelist'],
91981009,Benign neoplasm of appendix,Benign Tumour,,['Lauren_codelist'],
91985000,Benign neoplasm of ascending colon,Benign Tumour,,['Lauren_codelist'],
92020008,Benign neoplasm of body of stomach,Benign Tumour,,['Lauren_codelist'],
92021007,Benign neoplasm of corpus uteri NOS,Benign Tumour,,['Lauren_codelist'],
92030004,Benign neoplasm of brain,Benign Tumour,,['Lauren_codelist'],
92040001,Benign neoplasm of caecum,Benign Tumour,,['Lauren_codelist'],
92042009,Benign neoplasm of stomach cardia,Benign Tumour,,['Lauren_codelist'],
92044005,Benign neoplasm of carotid body,Benign Tumour,,['Lauren_codelist'],
92048008,Benign neoplasm of brain or other nervous system NOS,Benign Tumour,,['Lauren_codelist'],
92051001,Benign neoplasm of cerebral meninges,Benign Tumour,,['Lauren_codelist'],
92051001,Benign neoplasm of cerebral meninges NOS,Benign Tumour,,['Lauren_codelist'],
92063006,Benign neoplasm of coccygeal body,Benign Tumour,,['Lauren_codelist'],
92065004,Benign neoplasm of colon,Benign Tumour,,['Lauren_codelist'],
